aX,aY,aZ,gX,gY,gZ
0.250,-0.926,0.415,-5.501,7.629,-1.138
0.249,-0.927,0.413,-5.315,7.218,-0.919
0.248,-0.928,0.412,-5.130,6.800,-0.730
0.246,-0.928,0.410,-4.948,6.367,-0.587
0.245,-0.928,0.409,-4.776,5.919,-0.472
0.244,-0.928,0.409,-4.612,5.458,-0.365
0.243,-0.928,0.408,-4.453,4.976,-0.277
0.243,-0.928,0.407,-4.301,4.479,-0.196
0.242,-0.927,0.406,-4.151,3.962,-0.129
0.241,-0.926,0.405,-4.010,3.429,-0.075
0.241,-0.926,0.404,-3.870,2.878,-0.041
0.241,-0.925,0.402,-3.726,2.320,-0.022
0.240,-0.924,0.401,-3.574,1.759,-0.022
0.240,-0.923,0.399,-3.416,1.204,-0.036
0.240,-0.923,0.398,-3.221,0.646,-0.053
0.239,-0.923,0.396,-2.977,0.055,-0.066
0.239,-0.922,0.395,-2.638,-0.514,-0.093
0.239,-0.921,0.394,-2.242,-1.075,-0.135
0.237,-0.919,0.393,-1.906,-1.671,-0.191
0.236,-0.918,0.393,-1.633,-2.307,-0.284
0.236,-0.917,0.394,-1.426,-2.996,-0.406
0.235,-0.916,0.395,-1.282,-3.716,-0.561
0.234,-0.911,0.395,-1.177,-4.429,-0.783
0.234,-0.910,0.396,-1.132,-5.172,-1.049
0.233,-0.909,0.397,-1.153,-5.922,-1.344
0.233,-0.909,0.397,-1.237,-6.599,-1.666
0.233,-0.909,0.396,-1.313,-7.213,-2.030
0.233,-0.909,0.396,-1.312,-7.748,-2.428
0.234,-0.910,0.395,-1.294,-8.116,-2.848
0.234,-0.911,0.393,-1.255,-8.381,-3.272
0.234,-0.911,0.392,-1.205,-8.583,-3.657
0.234,-0.912,0.391,-1.151,-8.745,-3.998
0.235,-0.913,0.390,-1.108,-8.888,-4.287
0.235,-0.913,0.390,-1.078,-9.019,-4.536
0.235,-0.914,0.389,-1.055,-9.115,-4.741
0.235,-0.914,0.388,-0.998,-9.231,-4.901
0.235,-0.914,0.388,-0.955,-9.325,-5.034
0.235,-0.914,0.386,-0.946,-9.384,-5.150
0.236,-0.913,0.385,-0.972,-9.392,-5.252
0.236,-0.913,0.385,-1.038,-9.317,-5.370
0.237,-0.912,0.385,-1.116,-9.170,-5.529
0.238,-0.912,0.386,-1.209,-8.929,-5.763
0.239,-0.913,0.387,-1.323,-8.620,-6.042
0.241,-0.913,0.389,-1.445,-8.275,-6.356
0.242,-0.914,0.391,-1.577,-7.839,-6.659
0.243,-0.914,0.393,-1.755,-7.397,-6.939
0.244,-0.914,0.395,-1.917,-7.029,-7.199
0.245,-0.914,0.397,-2.170,-6.561,-7.444
0.247,-0.914,0.398,-2.477,-5.970,-7.672
0.249,-0.914,0.398,-2.721,-5.314,-7.914
0.250,-0.914,0.397,-2.945,-4.553,-8.174
0.253,-0.914,0.395,-3.144,-3.639,-8.419
0.255,-0.915,0.393,-3.339,-2.593,-8.640
0.258,-0.914,0.392,-3.576,-1.372,-8.825
0.261,-0.912,0.391,-3.838,-0.000,-8.994
0.263,-0.909,0.392,-4.155,1.507,-9.175
0.264,-0.906,0.394,-4.523,2.980,-9.380

0.482,-0.952,0.890,26.314,99.665,-9.364
0.582,-0.771,1.035,34.635,97.067,-7.516
0.427,-0.720,1.047,35.579,68.747,-13.060
0.392,-0.706,1.047,30.030,58.800,-10.204
0.392,-0.716,1.031,26.068,51.724,-3.201
0.392,-0.706,1.018,23.186,47.683,-0.311
0.385,-0.687,1.000,19.167,44.143,1.546
0.370,-0.682,0.983,16.534,40.953,2.747
0.364,-0.678,0.960,14.725,37.328,3.349
0.359,-0.670,0.940,13.058,33.394,3.736
0.355,-0.670,0.923,11.702,29.440,4.407
0.352,-0.676,0.909,10.822,25.755,5.192
0.344,-0.680,0.896,9.716,22.468,5.933
0.338,-0.687,0.887,8.878,19.943,6.574
0.332,-0.692,0.883,8.371,17.753,6.936
0.324,-0.695,0.881,8.033,16.280,6.987
0.315,-0.698,0.880,7.658,14.842,6.879
