aX,aY,aZ,gX,gY,gZ
0.095,-1.117,0.219,12.058,1.042,-4.789
0.092,-1.114,0.218,12.105,1.064,-4.564
0.088,-1.111,0.217,12.201,1.070,-4.367
0.085,-1.107,0.217,12.248,1.063,-4.222
0.082,-1.102,0.216,12.228,1.085,-4.137
0.078,-1.098,0.216,12.160,1.108,-4.080
0.075,-1.095,0.216,12.064,1.105,-4.003
0.072,-1.092,0.216,11.980,1.058,-3.836
0.069,-1.089,0.216,11.937,0.997,-3.615
0.066,-1.086,0.215,11.927,0.919,-3.396
0.063,-1.082,0.215,11.917,0.838,-3.196
0.060,-1.078,0.215,11.874,0.761,-3.018
0.057,-1.074,0.216,11.754,0.720,-2.859
0.054,-1.070,0.216,11.572,0.696,-2.712
0.051,-1.067,0.216,11.348,0.670,-2.579
0.048,-1.063,0.216,11.111,0.675,-2.440
0.045,-1.060,0.216,10.876,0.656,-2.312
0.041,-1.057,0.216,10.630,0.632,-2.216
0.038,-1.054,0.217,10.351,0.575,-2.141
0.035,-1.052,0.217,10.042,0.463,-2.102
0.032,-1.049,0.217,9.744,0.304,-2.113
0.029,-1.047,0.217,9.453,0.118,-2.142
0.026,-1.045,0.217,9.171,-0.047,-2.147
0.023,-1.044,0.217,8.919,-0.148,-2.134
0.021,-1.043,0.217,8.687,-0.177,-2.097
0.019,-1.042,0.216,8.470,-0.194,-2.052
0.017,-1.041,0.216,8.260,-0.250,-2.020
0.014,-1.039,0.215,8.040,-0.342,-1.976
0.012,-1.038,0.215,7.824,-0.456,-1.898
0.010,-1.037,0.214,7.640,-0.583,-1.811
0.008,-1.036,0.214,7.489,-0.706,-1.729
0.007,-1.035,0.214,7.357,-0.785,-1.670
0.005,-1.034,0.213,7.234,-0.825,-1.642
0.003,-1.032,0.213,7.116,-0.852,-1.626
0.002,-1.031,0.212,6.989,-0.889,-1.605
-0.000,-1.029,0.213,6.855,-0.920,-1.576
-0.002,-1.028,0.213,6.705,-0.943,-1.517
-0.003,-1.027,0.213,6.564,-0.959,-1.464
-0.005,-1.025,0.213,6.438,-0.972,-1.418
-0.006,-1.024,0.213,6.314,-0.980,-1.368
-0.007,-1.023,0.214,6.194,-0.993,-1.299
-0.008,-1.021,0.214,6.077,-1.012,-1.213
-0.010,-1.020,0.214,5.965,-1.042,-1.119
-0.011,-1.018,0.214,5.851,-1.067,-1.044
-0.012,-1.016,0.215,5.713,-1.069,-1.022
-0.014,-1.014,0.215,5.568,-1.047,-1.027
-0.015,-1.013,0.215,5.414,-1.017,-1.036
-0.016,-1.011,0.215,5.264,-0.993,-1.022
-0.017,-1.010,0.215,5.130,-0.965,-0.993
-0.018,-1.009,0.215,5.019,-0.947,-0.969
-0.019,-1.008,0.215,4.918,-0.929,-0.963
-0.020,-1.007,0.215,4.817,-0.909,-0.979
-0.021,-1.006,0.215,4.711,-0.907,-0.993
-0.021,-1.005,0.215,4.604,-0.943,-1.005
-0.022,-1.004,0.215,4.493,-0.996,-1.029
-0.023,-1.003,0.215,4.371,-1.060,-1.107
-0.024,-1.002,0.215,4.217,-1.120,-1.223
-0.025,-1.000,0.215,4.043,-1.235,-1.324
-0.026,-0.999,0.215,3.865,-1.359,-1.418
-0.026,-0.999,0.215,3.672,-1.497,-1.474
-0.026,-0.999,0.215,3.491,-1.648,-1.516
-0.027,-0.999,0.215,3.323,-1.828,-1.555
-0.026,-0.999,0.215,3.168,-2.005,-1.603
-0.026,-1.000,0.215,3.006,-2.163,-1.647

1.090,-1.322,0.529,-18.981,-11.260,8.878
0.986,-1.547,0.452,-5.620,-11.585,-3.182
0.942,-1.649,0.439,102.732,-7.356,-13.219
0.904,-1.636,0.477,152.871,-1.847,-17.037
0.877,-1.592,0.467,161.616,3.300,-17.086
0.859,-1.552,0.445,157.187,6.910,-16.131
0.835,-1.501,0.443,131.694,6.991,-16.264
0.796,-1.458,0.452,84.284,3.436,-24.955
